Week,Duration,Avg
1,07-02-2016 - 13-02-2016,0.32625
2,14-02-2016 - 20-02-2016,0.3253125
3,21-02-2016 - 27-02-2016,0.326041667
4,28-02-2016 - 05-03-2016,0.325
5,06-03-2016 - 12-03-2016,0.325
6,13-03-2016 - 19-03-2016,0.325
7,20-03-2016 - 26-03-2016,0.23875
8,27-03-2016 - 02-04-2016,0.1625
9,03-04-2016 - 09-04-2016,0.3255
10,10-04-2016 - 16-04-2016,0.325833333
11,17-04-2016 - 23-04-2016,0.325
12,24-04-2016 - 30-04-2016,0.3253125
13,01-05-2016 - 07-05-2016,0.32625
14,08-05-2016 - 14-05-2016,0.28453125
15,15-05-2016 - 21-05-2016,0.2765
16,22-05-2016 - 28-05-2016,0.325
17,29-05-2016 - 04-06-2016,0.308875
18,05-06-2016 - 11-06-2016,0.1625
19,12-06-2016 - 18-06-2016,0.32625
20,19-06-2016 - 25-06-2016,0.325
21,26-06-2016 - 02-07-2016,0.255535714
22,03-07-2016 - 09-07-2016,0.3253125
23,10-07-2016 - 16-07-2016,0.3259375
24,17-07-2016 - 23-07-2016,0.31375
25,24-07-2016 - 30-07-2016,0.372083333
26,31-07-2016 - 06-08-2016,0.343958333
27,07-08-2016 - 13-08-2016,0.3255
28,14-08-2016 - 20-08-2016,0.32575
29,21-08-2016 - 27-08-2016,0.325
30,28-08-2016 - 03-09-2016,-9999
31,04-09-2016 - 10-09-2016,-9999
32,11-09-2016 - 17-09-2016,0.31203125
33,18-09-2016 - 24-09-2016,0.302053571
34,25-09-2016 - 01-10-2016,0.263392857
35,02-10-2016 - 08-10-2016,0.325
36,09-10-2016 - 15-10-2016,0.325
37,16-10-2016 - 22-10-2016,0.271041667
38,23-10-2016 - 29-10-2016,0.32546875
39,30-10-2016 - 05-11-2016,0.244375
40,06-11-2016 - 12-11-2016,0.325
41,13-11-2016 - 19-11-2016,0.216666667
42,20-11-2016 - 26-11-2016,0.40875
43,27-11-2016 - 03-12-2016,0.2328125
44,04-12-2016 - 10-12-2016,0.325625
45,11-12-2016 - 17-12-2016,0.2525
46,18-12-2016 - 24-12-2016,0.311875
47,25-12-2016 - 31-12-2016,0.25625
48,01-01-2017 - 07-01-2017,0.325
49,08-01-2017 - 14-01-2017,0.162708333
50,15-01-2017 - 21-01-2017,0.325
51,22-01-2017 - 28-01-2017,-9999
52,29-01-2017 - 04-02-2017,-9999
53,05-02-2017 - 11-02-2017,0.325
54,12-02-2017 - 18-02-2017,0.325625
55,19-02-2017 - 25-02-2017,0.325208333
56,26-02-2017 - 04-03-2017,0.325125
57,05-03-2017 - 11-03-2017,-9999
58,12-03-2017 - 18-03-2017,0.325625
59,19-03-2017 - 25-03-2017,0.260375
60,26-03-2017 - 01-04-2017,0.108541667
61,02-04-2017 - 08-04-2017,0.3275
62,09-04-2017 - 15-04-2017,0.286354167
63,16-04-2017 - 22-04-2017,0.26075
64,23-04-2017 - 29-04-2017,0.3253125
65,30-04-2017 - 06-05-2017,0.325625
66,07-05-2017 - 13-05-2017,-9999
67,14-05-2017 - 20-05-2017,0.46
68,21-05-2017 - 27-05-2017,0.270833333
69,28-05-2017 - 03-06-2017,0.32575
70,04-06-2017 - 10-06-2017,0.318645833
71,11-06-2017 - 17-06-2017,0.325
72,18-06-2017 - 24-06-2017,0.325
73,25-06-2017 - 01-07-2017,0.282946429
74,02-07-2017 - 08-07-2017,0.35375
75,09-07-2017 - 15-07-2017,0.312
76,16-07-2017 - 22-07-2017,0.325520833
77,23-07-2017 - 29-07-2017,0.3253125
78,30-07-2017 - 05-08-2017,0.32625
79,06-08-2017 - 12-08-2017,0.313839286
80,13-08-2017 - 19-08-2017,0.346354167
81,20-08-2017 - 26-08-2017,0.325375
82,27-08-2017 - 02-09-2017,0.326339286
83,03-09-2017 - 09-09-2017,0.291354167
84,10-09-2017 - 16-09-2017,0.325833333
85,17-09-2017 - 23-09-2017,0.270833333
86,24-09-2017 - 30-09-2017,0.302857143
87,01-10-2017 - 07-10-2017,0.325125
88,08-10-2017 - 14-10-2017,0.313839286
89,15-10-2017 - 21-10-2017,-9999
90,22-10-2017 - 28-10-2017,0.3253125
91,29-10-2017 - 04-11-2017,0.325208333
92,05-11-2017 - 11-11-2017,0.322053571
93,12-11-2017 - 18-11-2017,0.325104167
94,19-11-2017 - 25-11-2017,0.29845447
95,26-11-2017 - 02-12-2017,0.107769424
96,03-12-2017 - 09-12-2017,0.213241437
97,10-12-2017 - 16-12-2017,0.265914787
98,17-12-2017 - 23-12-2017,0.107456141
99,24-12-2017 - 30-12-2017,0.103383459
100,31-12-2017 - 06-01-2018,0.112155389
101,07-01-2018 - 13-01-2018,0
102,14-01-2018 - 20-01-2018,0.020206767
103,21-01-2018 - 27-01-2018,0.107769424
104,28-01-2018 - 03-02-2018,0.096992481
105,04-02-2018 - 10-02-2018,0.192669173
106,11-02-2018 - 17-02-2018,0.053884712
107,18-02-2018 - 24-02-2018,0.277568922
108,25-02-2018 - 03-03-2018,0.080827068
109,04-03-2018 - 10-03-2018,0.234805765
110,11-03-2018 - 17-03-2018,0.107769424
111,18-03-2018 - 24-03-2018,0.277255639
112,25-03-2018 - 31-03-2018,0.202537594
113,01-04-2018 - 07-04-2018,-9999
114,08-04-2018 - 14-04-2018,0.246365915
115,15-04-2018 - 21-04-2018,0.179323308
116,22-04-2018 - 28-04-2018,0.273809524
117,29-04-2018 - 05-05-2018,0.186403509
118,06-05-2018 - 12-05-2018,0.281746032
119,13-05-2018 - 19-05-2018,0.223684211
120,20-05-2018 - 26-05-2018,0.251879699
121,27-05-2018 - 02-06-2018,0.238721805
122,03-06-2018 - 09-06-2018,0.313283208
123,10-06-2018 - 16-06-2018,0.239598998
124,17-06-2018 - 23-06-2018,0.279866333
125,24-06-2018 - 30-06-2018,0.24131758
126,01-07-2018 - 07-07-2018,0.298350042
