,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
13106,2016-02-18,3,651,8.0,2.59,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32375,943
13139,2016-02-17,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13382,2016-02-26,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13453,2016-02-20,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13528,2016-02-22,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13893,2016-03-10,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13940,2016-03-13,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14249,2016-03-18,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14286,2016-03-21,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14340,2016-03-15,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14591,2016-03-23,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14626,2016-03-22,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14741,2016-04-04,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14788,2016-04-06,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15036,2016-04-13,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15081,2016-04-08,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
15133,2016-04-07,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
